date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2019-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,data don't start when expected
2019-06-19,4.114419434605387,3.6787319001020364,4.471682895699434,-3.8318675544435195,-4.448598850001537,-3.323092969627303,4.518649124533567,4.412478972085454,4.670336232277946,overall warnings,
2019-06-20,4.08098941124104,3.5668732416463595,4.545470567049522,-3.6309607499223304,-4.56938973599585,-3.0799597344834337,4.514447192592671,4.399121337496618,4.646647322191989,overall warnings,
2019-06-21,4.137170213359044,3.7324164439606404,4.5770034400224615,-3.8695418230523875,-4.482954817939909,-3.3284633392089558,4.515058832790261,4.396758210726223,4.637646643630307,overall warnings,
2019-06-22,4.353574932673798,3.9227269018389848,4.726940710902983,-4.095760165585991,-4.6462810466306985,-3.459310468021162,4.508881220967857,4.402870863707154,4.636167663619053,overall warnings,
2019-06-23,4.448195876344657,3.980033894672414,4.8669242114496765,-4.0483894001059095,-4.597039412245706,-3.4441954175414913,4.511925015749893,4.397607597487244,4.624485895377352,overall warnings,
2019-06-24,4.372737322883983,3.86421269845402,4.700061479013009,-4.019335976459095,-4.583664883133007,-3.3625543990972546,4.512434917968072,4.382097850581351,4.622672381407768,overall warnings,
2019-06-25,3.8576605268024182,3.2414166342530315,4.3258256798155665,-3.6743248407140077,-4.407085661841113,-2.85119626664845,4.51116153191044,4.378748527906616,4.617785101963809,overall warnings,
2019-06-26,3.2145631733039375,2.834778120986865,3.7352894865056774,-3.066278305106687,-3.7995177357839527,-2.5714831547202075,4.510013085515857,4.3814187142516055,4.6175448794880065,overall warnings,
2019-06-27,4.1835894820295145,3.8232924994323536,4.639791099726881,-3.551408939013684,-4.191121092425088,-3.0678902743549887,4.509207081937935,4.381041505023879,4.6194251782341045,overall warnings,
2019-06-28,4.3330211953674915,3.8474797820371403,4.706988486887723,-3.5761309429445385,-4.068364010724979,-2.9062841087404534,4.507599530239089,4.377833892473327,4.621076580339705,overall warnings,
2019-06-29,4.129737415654618,3.634079560305966,4.495286612830103,-3.6542937997446643,-4.131860585385582,-2.9637775104263397,4.503838993987765,4.350830705437231,4.589012520677823,overall warnings,
2019-06-30,4.5193235853661555,4.097877466771961,4.9285815317968,-4.101377784542787,-4.658049187720726,-3.4566567544340585,4.511559600553337,4.380228687168694,4.623974174122054,overall warnings,
2019-07-01,4.941657670348947,4.465830753441593,5.278898057200436,-3.995140686297,-4.601688226180591,-3.3540335996756743,4.506579096931183,4.34839510465691,4.597098519499745,overall warnings,
2019-07-02,5.08684003384865,4.5862052411013305,5.39726901258342,-4.123942544102795,-4.685013907963888,-3.550792143169225,4.507266553964594,4.375024647415004,4.610333216870946,overall warnings,
2019-07-03,4.930164888933607,4.488507639110444,5.328733315714273,-3.9455857471073648,-4.49633335696036,-3.3030464423949755,4.5078678169384325,4.378199584530721,4.607801853448275,overall warnings,
2019-07-04,5.1125127923067355,4.653598348090791,5.452275909747266,-4.169956223050523,-4.657032803052532,-3.5008976071867375,4.50660443567272,4.373597651872045,4.606039242363108,overall warnings,
2019-07-05,5.40278962715048,5.023318478895044,5.829880996866801,-4.178442874957739,-4.758748135501356,-3.569262717662872,4.508779952604063,4.362511962972351,4.602245010568475,overall warnings,
2019-07-06,5.390112380832463,5.057682995530841,5.87269361787943,-4.252130885312038,-4.789460793318468,-3.6240192478343625,4.509344833396083,4.373089598514049,4.6130864058711545,overall warnings,
2019-07-07,5.720510766939899,5.215677176031744,6.054963651025222,-4.5784116235954215,-5.151441185349394,-3.9670884706561904,4.508515065938727,4.386785769851038,4.615624097429871,overall warnings,
2019-07-08,5.566233134370082,5.181728805351509,5.979204214926029,-4.5185975330391095,-5.098644282633025,-3.9635492935942387,4.507090892023352,4.364709233540432,4.595326343459297,overall warnings,
2019-07-09,4.134183516405949,3.6784110738860365,4.488624992477159,-3.535875561986897,-4.085666225824071,-2.8948059820117478,4.506477472075433,4.367565960234182,4.612062608399104,overall warnings,
2019-07-10,5.869749815145894,5.428708222631778,6.269172498188025,-4.985628543930261,-5.559047257714759,-4.393324749401874,4.511009417645351,4.393986055481956,4.621051255896445,overall warnings,
2019-07-11,6.070066861442932,5.619815584989453,6.419612162206214,-5.102569557216538,-5.740865937217394,-4.6080960914601965,4.505586382997409,4.354986191435996,4.58837004759226,overall warnings,
2019-07-12,6.561922782790113,6.113864189432898,6.944902082136946,-5.56878646480727,-6.128135621399006,-4.968219640006043,4.508055482285327,4.366239570033579,4.608409234004875,overall warnings,
2019-07-13,6.859735753679529,6.427823023574822,7.3619689783829445,-5.938469547134054,-6.537414896084311,-5.282109263134452,4.511308524570593,4.390444404074374,4.619875825828383,overall warnings,
2019-07-14,6.9395640295677055,6.522029460765401,7.324213282620713,-5.867473325283135,-6.354537049698556,-5.211930498058978,4.511466044063173,4.379901866589617,4.612185271548135,overall warnings,
