date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2019-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,data don't start when expected
2019-06-19,7.621436269242859,6.755026228326057,8.492951784633126,-5.991400363477778,-6.8068911451200975,-5.169862072127955,13.275062560069312,11.809744250798422,14.81927210587432,overall warnings,
2019-06-20,7.552721637522475,6.71471107581853,8.379607022290417,-5.873435759796132,-6.642930760222402,-5.0708081422608915,12.841187855266986,11.413934497839278,14.262470841486053,overall warnings,
2019-06-21,8.312908287622278,7.412144324683324,9.224817240363747,-6.458467561942606,-7.314497875483114,-5.6420507282627534,13.513064404824334,12.106972763471818,15.00948292278007,overall warnings,
2019-06-22,9.30622782289625,8.404015634147552,10.271960064618861,-7.4411751844840825,-8.331478146277885,-6.604428532302565,13.346850716252202,12.010748185760788,14.760822496089347,overall warnings,
2019-06-23,9.587416916417187,8.73382028465895,10.501472316085007,-7.727064879994941,-8.595940021309655,-6.889463821055181,12.766010767150924,11.591964635848472,13.97247313307678,overall warnings,
2019-06-24,9.610643852517615,8.78720404951322,10.492814587840396,-7.962717304462874,-8.83292521178995,-7.152005338551544,12.690666267356432,11.53353538400113,13.86367352275161,overall warnings,
2019-06-25,9.273862377169369,8.504522754074282,10.05511865707533,-7.797312548570824,-8.582153378934994,-7.004264748222685,11.866401190239142,10.818978141097517,12.944102757548979,overall warnings,
2019-06-26,8.890987415210187,8.134613142586833,9.689496571461968,-6.975624019993152,-7.755574330760038,-6.229239011450409,11.762654258578495,10.683903240112365,12.873626095599855,overall warnings,
2019-06-27,10.205622960773653,9.402466406315481,11.059695964925707,-7.370996153533621,-8.122547604681195,-6.632640869788192,12.24868775983358,11.21827735359262,13.309002603527984,overall warnings,
2019-06-28,10.101555003796602,9.306537601546735,10.910665978551062,-7.382269039914133,-8.147044510019603,-6.654170538900296,11.345767063149303,10.431564683740383,12.321391670765324,overall warnings,
