date,GPP.daily,GPP.daily.lower,GPP.daily.upper,ER.daily,ER.daily.lower,ER.daily.upper,K600.daily,K600.daily.lower,K600.daily.upper,warnings,errors
2019-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,overall warnings,data don't start when expected
2019-06-20,7.154591249791129,6.393411566620216,7.930061137500694,-2.7816827576612626,-3.6846716000692386,-1.8754383587682342,9.125670458776817,8.46387661256045,9.91354974962751,overall warnings,
2019-06-21,7.053285104500745,6.282486595689299,7.828654611995994,-2.7284758635675783,-3.6175738061407667,-1.8277197864810186,9.094406669580069,8.392842572945725,9.918058403956666,overall warnings,
2019-06-22,6.887795221334459,6.1594407257977455,7.646808783842457,-2.810481034620024,-3.6815378116160886,-1.8997066625018624,9.01809366389959,8.361336697464507,9.784669770862571,overall warnings,
2019-06-23,6.412856415627164,5.7304754400253195,7.1144966813475525,-3.0723197777530498,-3.93552492851383,-2.144630514724004,8.963929082591026,8.271746753260112,9.722923831074102,overall warnings,
2019-06-24,5.7037406206900805,5.013608894669682,6.383289730133027,-2.926347591274097,-3.78271553073759,-2.0350930481190876,8.853472027846806,8.149993256404754,9.53075875652287,overall warnings,
2019-06-25,4.8172053568936875,4.112034699686432,5.503284791810682,-2.817051405210137,-3.7105364303796504,-1.9096993221029763,8.908838696224729,8.228792141037676,9.658057479141481,overall warnings,
2019-06-26,3.280446146784481,2.63610531363371,3.9475893451049067,-2.0597029023257343,-2.9573736214887187,-1.1314914446316011,8.864057265469658,8.120777208828647,9.607082739157486,overall warnings,
2019-06-27,3.538932446809345,2.8815887216505476,4.228573743382992,-1.9599962504620976,-2.8564261045358603,-1.0660417589491702,8.902315050895306,8.176177161455566,9.72241415181221,overall warnings,
2019-06-28,3.9230931277955525,3.250612972701387,4.581581107897839,-2.229837904289493,-3.131200205287949,-1.3430749878508679,8.957787118168376,8.24850764401213,9.747001363702706,overall warnings,
2019-06-29,3.9817557538383115,3.291270459617766,4.681421050559171,-2.562550360071179,-3.436084872437336,-1.653552749684619,8.92739954313628,8.192517201135692,9.705667843242903,overall warnings,
2019-06-30,4.25946024010063,3.5796170626152772,4.996390682635213,-2.9084201396529874,-3.8209803275156666,-2.004882713241104,8.96676919573013,8.254859488538523,9.76158197531647,overall warnings,
2019-07-01,4.4559248087613685,3.7436839039102794,5.149815967078654,-3.1316246136371735,-4.032603447025773,-2.189777630554571,8.980322401934867,8.28886341222496,9.77496562516773,overall warnings,
2019-07-02,4.748749916111986,4.032774522287802,5.457504421672904,-3.509325182882178,-4.431381806701588,-2.6068054885013994,8.99089448225467,8.256191167432839,9.83322146014246,overall warnings,
