Station, Elevation
33.977109628, 112.656567141
33.9852797742, 112.67062707
33.9856065056, 112.674724537
33.9938107301, 112.682176806
34.0022889755, 112.694260004
34.0107205114, 112.698690819
34.0191237015, 112.704948779
34.0191387816, 112.716118959
34.0275949882, 112.728781751
34.0360027947, 112.751101936
34.0443765956, 112.766055166
34.0446434234, 112.777006405
34.0530885838, 112.795263647
34.061547533, 112.818670568
34.0619676494, 112.823581064
34.0705224918, 112.849094838
34.0790959445, 112.878276309
34.0882216104, 112.892590978
34.0967350364, 112.924500194
34.0988891618, 112.933251322
34.1073337426, 112.971834975
34.1157812303, 113.044674376
34.12422553, 113.081443471
34.1260612757, 113.08835835
34.1344058204, 113.119413908
34.1427771604, 113.143240942
34.1511926809, 113.154733621
34.1600401616, 113.1615465
34.1686256324, 113.164781123
34.1772475271, 113.168430929
34.1858950113, 113.169145348
34.1945498466, 113.16267699
34.1949698646, 113.163836332
34.2035513094, 113.163982687
34.2121325889, 113.182873841
34.2197887189, 113.190990506
34.2292199138, 113.201347366
34.2378059589, 113.20351688
34.2464054795, 113.197622365
34.2550066939, 113.186854205
34.2634162598, 113.178247862
34.2716391202, 113.187302742
34.2798591116, 113.195299
34.2873858173, 113.185204502
34.2963432724, 113.180490428
34.3045206608, 113.192607135
34.3126786911, 113.201719195
34.320827617, 113.212024247
34.3290575486, 113.201596453
34.3371365524, 113.204862901
34.3453010689, 113.199984457
34.3529769537, 113.171776064
34.354293201, 113.158742975
34.3623654082, 113.19257624
34.3707181811, 113.072523043
34.3788879542, 113.056785296
34.3810345352, 113.099300355
34.3892995223, 113.046130044
34.397495631, 113.047289176
34.4055897269, 113.14800923
34.4084454006, 113.35913987
34.4148141058, 113.003002415
34.4176713884, 112.761482447
34.4259368322, 112.644213173
34.4345811883, 113.058578845
34.4432730043, 113.628395915
34.4520761901, 113.155616432
34.460688727, 113.148950367
34.4692134214, 112.945188948
34.4774492051, 113.255316162
34.4852672099, 113.483179172
34.4933652811, 115.020790562
34.5014763185, 115.138405626
34.5042808663, 114.440367873
34.5123907322, 114.884933585
34.5205173194, 115.275748957
34.5286551371, 115.526503749
34.5368005394, 115.742163064
34.5449507204, 115.878349799
34.5531173845, 115.95729857
34.5615660819, 115.988535069
