Station, Elevation
33.977109628, 153.716977429
33.9852797742, 153.878418262
33.9856065056, 153.760831724
33.9938107301, 153.918249399
34.0022889755, 153.978700385
34.0107205114, 154.054967496
34.0191237015, 154.110432713
34.0191387816, 154.216818254
34.0275949882, 154.238916037
34.0360027947, 154.281408041
34.0443765956, 154.313352451
34.0446434234, 154.406601489
34.0530885838, 154.411988463
34.061547533, 154.406044694
34.0619676494, 154.469333133
34.0705224918, 154.433857211
34.0790959445, 154.36879052
34.0882216104, 154.228891409
34.0967350364, 154.055419773
34.0988891618, 153.995178288
34.1073337426, 153.840415603
34.1157812303, 153.832795472
34.12422553, 153.729433742
34.1260612757, 153.643332451
34.1344058204, 153.61942538
34.1427771604, 153.600186689
34.1511926809, 153.52735842
34.1600401616, 153.398952753
34.1686256324, 153.23868749
34.1772475271, 153.061126202
34.1858950113, 152.908853638
34.1945498466, 152.932830665
34.1949698646, 152.937408011
34.2035513094, 153.316167085
34.2121325889, 153.701102498
34.2197887189, 154.013451008
34.2292199138, 154.279584494
34.2378059589, 154.343299789
34.2464054795, 154.184895495
34.2550066939, 154.11300511
34.2634162598, 154.409671266
34.2716391202, 154.804532939
34.2798591116, 154.961499967
34.2873858173, 155.039707577
34.2963432724, 155.151511162
34.3045206608, 155.381045854
34.3126786911, 155.581259577
34.320827617, 155.756637115
34.3290575486, 155.78463562
34.3371365524, 155.916716465
34.3453010689, 155.943979952
34.3529769537, 156.022923699
34.354293201, 156.272022564
34.3623654082, 156.65038061
34.3707181811, 156.809202991
34.3788879542, 156.839724352
34.3810345352, 157.216466996
34.3892995223, 157.322838687
34.397495631, 157.44239976
34.4055897269, 157.628137023
34.4084454006, 157.787339103
34.4148141058, 157.460084001
34.4176713884, 157.510035523
34.4259368322, 157.454719996
34.4345811883, 157.49156612
34.4432730043, 157.680443419
34.4520761901, 157.614167035
34.460688727, 157.448946367
34.4692134214, 157.442419315
34.4774492051, 157.473142824
34.4852672099, 157.404655763
34.4933652811, 157.621781801
34.5014763185, 157.503080059
34.5042808663, 157.314430565
34.5123907322, 157.254259342
34.5205173194, 157.223245356
34.5286551371, 157.143099219
34.5368005394, 157.123295397
34.5449507204, 157.084429297
34.5531173845, 157.025588318
34.5615660819, 156.852040599
34.5688869151, 156.491220523
34.5734543715, 156.343025485
34.5814874002, 156.207545971
34.5895450559, 156.55074774
34.5976066827, 156.795951882
34.6056688462, 157.167254693
34.613729217, 157.495584583
34.6183123939, 157.657402979
34.6263703535, 157.968840809
34.6344058806, 158.009684252
34.6424017617, 158.067296385
34.6503468655, 158.224678263
34.6549461797, 158.090305702
34.6619515417, 157.723162295
34.6702182784, 157.49025871
34.6784827436, 157.116831057
34.6867444848, 156.324244779
34.6950039025, 156.241376126
34.7032621001, 156.629199507
34.7115188813, 157.493111246
34.7197758492, 158.84389471
34.7280323607, 160.050673569
34.7362447717, 161.064574619
34.7443897705, 161.668229152
34.752857529, 162.630193862
34.7588450806, 163.439247404
34.7608010777, 167.849421709
34.7681021189, 167.454510746
34.7757627091, 161.510532569
34.7835649434, 154.328374863
34.7913743484, 150.734915289
34.7991768157, 150.065474113
34.8069675705, 151.294810377
34.8147372133, 153.76368471
34.8224412551, 156.337852435
34.8298953863, 159.984669591
34.832707873, 159.559906216
34.8403261371, 163.129454338
34.8479302943, 167.394775834
34.8555036061, 171.390284326
34.8629878259, 174.172557002
34.8725612812, 174.270901105
34.878869624, 171.228017983
34.8852874731, 165.144572737
34.8917717089, 159.733501883
34.8982794553, 157.254761553
34.9047944825, 156.358927455
34.9113128154, 156.122188974
34.9178297162, 156.339394811
34.9243457565, 157.468445384
34.930860804, 159.617015668
34.9373743537, 162.666718597
34.9440738471, 166.471290203
34.9507463616, 170.733324938
34.9572752088, 174.818671296
34.9638065153, 177.131597646
34.9715375213, 175.315571546
34.9804455541, 166.708676169
34.9893570856, 159.39560468
34.998271886, 157.861184309
35.0071893556, 159.203430865
35.0161085248, 161.824271987
35.0250291826, 165.038417902
35.0339495629, 168.279557009
35.0426306015, 170.964616277
35.0514139528, 172.196065009
35.0601530868, 171.46817587
35.0640043589, 169.869546271
35.0728289329, 167.35905908
35.0815746495, 165.550589661
35.0909315395, 164.888215404
35.0994909388, 164.966797178
35.108158003, 165.519933963
35.1168527465, 166.454194043
