Station, Elevation
33.977109628, 149.452602276
33.9852797742, 149.600069401
33.9856065056, 149.504808656
33.9938107301, 149.648506925
34.0022889755, 149.716431914
34.0107205114, 149.79888616
34.0191237015, 149.861048028
34.0191387816, 149.953258742
34.0275949882, 149.986807415
34.0360027947, 150.036989763
34.0443765956, 150.075586963
34.0446434234, 150.161094578
34.0530885838, 150.176621487
34.061547533, 150.181161046
34.0619676494, 150.240120508
34.0705224918, 150.218779023
34.0790959445, 150.172300121
34.0882216104, 150.057702617
34.0967350364, 149.91407549
34.0988891618, 149.856093213
34.1073337426, 149.721958056
34.1157812303, 149.724725001
34.12422553, 149.634554798
34.1260612757, 149.561615883
34.1344058204, 149.537533786
34.1427771604, 149.509987169
34.1511926809, 149.42807847
34.1600401616, 149.298964961
34.1686256324, 149.154140762
34.1772475271, 148.996010872
34.1858950113, 148.851814262
34.1945498466, 148.86391707
34.1949698646, 148.856609357
34.2035513094, 149.208806078
34.2121325889, 149.557373769
34.2197887189, 149.838782068
34.2292199138, 150.080155352
34.2378059589, 150.125175057
34.2464054795, 149.941185077
34.2550066939, 149.829310365
34.2634162598, 150.076855347
34.2716391202, 150.434544499
34.2798591116, 150.567632703
34.2873858173, 150.615894278
34.2963432724, 150.711311968
34.3045206608, 150.91933358
34.3126786911, 151.103909497
34.320827617, 151.269338943
34.3290575486, 151.276047856
34.3371365524, 151.414731764
34.3453010689, 151.443635443
34.3529769537, 151.51848461
34.354293201, 151.72624302
34.3623654082, 152.090384197
34.3707181811, 152.20891284
34.3788879542, 152.246266967
34.3810345352, 152.617009237
34.3892995223, 152.719318327
34.397495631, 152.843647128
34.4055897269, 153.038111909
34.4084454006, 153.17683755
34.4148141058, 152.834469967
34.4176713884, 152.896089334
34.4259368322, 152.864679584
34.4345811883, 152.914546444
34.4432730043, 153.109284328
34.4520761901, 152.957569645
34.460688727, 152.864913704
34.4692134214, 152.73852501
34.4774492051, 152.798198294
34.4852672099, 152.675925412
34.4933652811, 152.986486758
34.5014763185, 152.913190815
34.5042808663, 152.741058771
34.5123907322, 152.697860057
34.5205173194, 152.682772734
34.5286551371, 152.609280661
34.5368005394, 152.60393116
34.5449507204, 152.568900897
34.5531173845, 152.524273278
34.5615660819, 152.34443346
34.5688869151, 151.977798523
34.5734543715, 151.916259784
34.5814874002, 151.834692546
34.5895450559, 152.206296768
34.5976066827, 152.369583467
34.6056688462, 152.603634841
34.613729217, 152.824352261
34.6183123939, 152.881115933
34.6263703535, 153.102761064
34.6344058806, 153.095591995
34.6424017617, 153.078959902
34.6503468655, 153.09813861
34.6549461797, 153.216498962
34.6619515417, 152.94777471
34.6702182784, 152.968796213
34.6784827436, 153.049237527
34.6867444848, 152.922674898
34.6950039025, 153.230145291
34.7032621001, 153.487670017
34.7115188813, 153.684067176
34.7197758492, 153.994466804
34.7280323607, 154.180946391
34.7362447717, 154.500681647
34.7443897705, 154.617201508
34.752857529, 154.893695065
34.7588450806, 155.05867952
34.7608010777, 154.558259199
34.7681021189, 154.670281654
34.7757627091, 154.568037463
34.7835649434, 154.603071571
34.7913743484, 154.825124489
34.7991768157, 154.884384804
34.8069675705, 155.037377004
34.8147372133, 155.489844894
34.8224412551, 155.618986311
34.8298953863, 155.017592344
34.832707873, 155.728320007
34.8403261371, 155.50256051
34.8479302943, 155.755340263
34.8555036061, 155.972707861
34.8629878259, 156.043494584
34.8725612812, 156.089290289
34.878869624, 156.01132487
34.8852874731, 155.797737509
34.8917717089, 155.673805146
34.8982794553, 155.668838897
34.9047944825, 155.62244505
34.9113128154, 155.694140234
34.9178297162, 155.695779308
34.9243457565, 155.693246853
34.930860804, 155.782273865
34.9373743537, 155.922132862
34.9440738471, 156.04718887
34.9507463616, 156.088039325
34.9572752088, 156.161303352
34.9638065153, 156.23535099
34.9715375213, 156.373703952
34.9804455541, 156.423051323
34.9893570856, 156.523704408
34.998271886, 156.643808499
35.0071893556, 156.729473933
35.0161085248, 156.808580721
35.0250291826, 156.863414532
35.0339495629, 156.875374619
35.0426306015, 156.986819885
35.0514139528, 156.981466777
35.0601530868, 157.08906585
35.0640043589, 157.211734049
35.0728289329, 157.298944584
35.0815746495, 157.434135075
35.0909315395, 157.529942685
35.0994909388, 157.603007566
35.108158003, 157.690045564
35.1168527465, 157.715897058
35.1191298148, 157.581233384
35.1277584364, 157.581500052
35.1363802189, 157.592987308
35.1449907434, 157.672957056
35.1527427621, 157.733675529
35.1621680014, 157.663209333
35.1707504595, 157.401486766
35.1725619222, 157.577424401
35.1811191864, 157.504347148
35.1897627048, 157.450440136
35.1984328794, 157.502746202
35.2071006656, 157.58521736
35.2166751187, 157.57867499
35.224387985, 157.391028601
35.2326367801, 157.768033505
35.2406939443, 156.112152018
35.2414555331, 155.988436757
35.2494081921, 157.646220095
35.2573551725, 156.080004734
35.2653513934, 155.956340298
35.273685635, 155.945171612
35.2743085139, 155.354111591
35.2831790559, 156.187886807
35.2922169596, 156.152742036
35.3012372158, 156.300133946
35.3091946445, 155.191740952
35.3102524116, 155.735613985
35.3180943416, 155.328619438
35.3269942754, 154.326495804
35.3358944666, 155.321643258
35.3446060763, 155.560486928
35.3535092037, 155.78913028
35.3624174062, 155.348926126
35.3706685844, 155.504875593
35.3782804589, 155.663398654
35.3858881253, 155.708946707
35.3934823595, 155.693721915
35.401056907, 154.566781962
35.4086098133, 154.951599639
35.416146543, 155.19305271
35.4236772112, 155.796295735
35.4312061455, 155.925784631
35.4387357212, 156.515542775
35.4462658567, 157.151628741
35.4537899691, 158.720283238
35.4612916712, 159.46965282
35.4618864082, 159.517061074
35.4684993692, 159.547340376
35.4762950723, 159.112650326
35.4780872177, 158.584830093
35.4856476646, 159.591971024
35.493925537, 159.77910318
35.5029086784, 160.393094469
35.5119024847, 162.015689233
35.5197084979, 160.68123216
35.5209021067, 160.88957756
35.5287800924, 161.000134914
35.5378538539, 161.312105805
35.5469274185, 161.690010329
35.555997398, 161.966339362
35.5649867037, 162.184263077
35.5740533152, 162.386605996
35.5831148086, 162.787142447
35.5921735271, 163.046177324
35.6012311193, 163.15897099
35.6102892379, 163.231056937
35.6193458729, 163.56863616
35.6284021582, 163.770132752
35.6374583766, 163.868046868
35.6465180887, 164.016569638
35.6556611317, 164.100715236
35.6647165749, 164.055720705
35.6737658581, 164.144918598
35.6828154707, 164.211889105
35.6918728648, 164.174859288
35.7009372081, 164.034209776
35.7099935071, 163.956410675
35.7190246728, 163.980045099
35.7280232238, 163.855531846
35.7369919918, 163.859307044
35.7459427116, 163.783858107
35.7548840013, 163.684978094
35.7553249708, 163.593298229
35.7644899683, 163.401346847
35.7733170656, 163.357493353
35.782151766, 163.432303244
35.7910352466, 163.480057348
35.8000012033, 163.853670915
35.8090186035, 164.419939565
35.8180418743, 164.806168752
35.8270623991, 165.090322054
35.8360866957, 164.98837118
35.8447690174, 164.660441583
35.8451149689, 164.580828311
35.8538648408, 164.679284089
35.8629606502, 164.853766313
35.8710540661, 164.841123482
35.8733795919, 164.481699317
35.8821158723, 164.452861444
35.8909238263, 164.334405276
35.8998102059, 164.402701816
35.9087422205, 165.078164665
35.9177084526, 165.893829328
35.9267056631, 166.13704655
35.9357197456, 166.204560864
35.9447393775, 166.16512251
35.9537629269, 166.535868723
35.9627888464, 166.859693628
35.9724854954, 167.075087059
35.9810031722, 167.282357285
35.9899190387, 167.546013179
35.9922895908, 166.938564137
36.0014089494, 167.542785283
36.0079830279, 168.053540231
36.0104760566, 167.658035106
36.0169101921, 168.316343562
36.0257820721, 168.682648722
36.0346826874, 168.761854671
36.0436553807, 168.582788776
36.0520811262, 168.523728135
36.0610582959, 168.689657283
36.066904087, 169.284887303
36.0759110228, 169.645928853
36.0836721201, 169.923908292
36.0925326201, 170.124263315
36.0933539535, 169.496945136
36.10199478, 169.405575204
36.1106738687, 169.057049868
36.1193585837, 168.784287276
36.1280557108, 168.773105232
36.13595407, 171.025583655
36.142994351, 172.853382219
36.1500483089, 173.141168705
36.1571024461, 171.175076572
36.1643954208, 166.348749431
36.1715610804, 163.698738698
36.1787271231, 166.495850542
36.1858934647, 169.318731547
36.1941027791, 173.133564062
36.2033638902, 174.959882399
36.2126231094, 174.005694184
36.2218690538, 171.842213898
36.231076076, 170.553260766
36.2402344245, 170.829091774
36.2403180878, 170.888877385
36.2494758122, 172.015044911
36.2586162287, 173.281935331
36.2677456128, 173.972236465
36.2778008732, 173.996645866
36.2870604621, 173.801473775
36.2963259173, 173.617676342
36.3055957946, 173.615095455
36.3148716057, 173.754965749
36.3241626835, 174.034348303
36.3334700969, 174.304754321
36.3427785258, 174.570570268
36.3520818557, 174.478019155
36.3613843041, 174.324620499
36.3706864356, 174.277610743
36.3799880757, 174.369524573
36.3892901622, 174.563984039
36.3987219312, 174.935177774
36.4080204881, 175.055732118
36.4173197768, 175.101286946
36.426617569, 175.290116076
36.4359029708, 175.674702104
36.4451393429, 176.059753202
36.4543083902, 176.367725986
36.4568929802, 176.425071853
36.4659180992, 176.57663719
36.4748366018, 176.855900043
36.4837464947, 177.014979197
36.492641967, 176.976344522
36.4954766506, 176.917638354
36.504420281, 176.546479452
36.5133266008, 176.452135596
36.522280049, 176.549515392
36.5313493967, 176.694455273
36.5404256075, 176.907191158
36.5495101078, 177.085503605
36.5586080681, 177.224737429
36.5675470773, 177.231442866
36.5677198704, 177.311713847
36.576615696, 177.276018969
36.58568964, 177.252597367
36.5947650732, 177.250975108
36.6035171146, 177.235777887
36.6039195827, 177.232909364
36.612415217, 177.211327718
36.620900826, 177.265811012
36.6285289211, 177.367049459
36.6301244996, 177.218961568
36.6384498827, 177.229166751
36.646803488, 177.220592539
36.6551932267, 177.235153735
36.6636083178, 177.180907515
36.6720316309, 177.149892988
36.6804558189, 177.099322488
36.688880596, 177.071977352
36.6973054487, 177.169072267
36.7057296994, 177.207032356
36.7141542229, 177.245104283
36.7225790732, 177.257765682
36.7310037853, 177.131005906
36.7394283225, 177.379036821
36.7478528309, 177.312143076
36.7562778304, 177.076836395
36.7645770149, 177.186136903
36.7729889421, 177.264994871
36.7814198786, 177.326891129
36.7898194157, 177.518125489
36.7981671017, 177.801691561
36.8064956394, 177.88679371
36.8148212395, 177.964287097
36.8231465021, 178.008036392
36.8314717743, 178.127006558
36.8398016344, 178.241899026
36.8481694368, 178.227429432
36.8564883921, 178.15516836
36.8645985553, 178.147572528
36.8736470981, 178.217940388
36.8820295184, 178.188606502
36.8904262346, 178.063840042
36.8988333856, 178.063248584
36.9072023688, 178.084113559
36.9080998525, 178.361246309
36.9166576537, 178.748058416
36.9251943784, 178.720162185
36.9337001988, 178.955205891
36.9421262758, 179.239874161
36.9502942726, 179.356304094
36.9574603037, 179.575657259
36.9617872695, 179.30623842
36.9701303841, 179.303402088
36.9785330116, 179.219588353
36.986959204, 179.161616949
36.9954031772, 179.153183048
36.9987828524, 178.853931439
37.0070368919, 178.9177807
37.0153405011, 179.026412305
37.023671759, 179.183454877
37.0320081823, 179.302355208
37.0403443033, 179.343611798
37.0486425909, 179.501042382
37.0568548888, 179.613657492
37.0651897774, 179.65043917
37.0735324314, 179.49709673
37.081879595, 179.373272803
37.0902246209, 179.203974369
37.0985670517, 179.141012143
37.1066411494, 179.160005131
37.1144512709, 179.308819802
37.1222563208, 179.360098515
37.1300510063, 179.469476665
37.1378309422, 179.530704933
37.1455860911, 179.507885656
37.1534138946, 179.380725566
37.1610712867, 179.156913776
37.1687942958, 178.935813394
37.1765497333, 178.901447388
37.1779576558, 178.760437103
37.1854672185, 178.746838487
37.1929832881, 179.022083927
37.2005179004, 179.392200473
37.2080803275, 179.615014554
37.2156441477, 179.48169733
37.2231630177, 179.11304392
37.2306109787, 178.867068722
37.2381744487, 179.38313131
37.2395000297, 179.003338872
37.2454132279, 179.520372479
37.2470527097, 179.251748598
37.2546182516, 179.342793462
37.2621918455, 179.302358048
37.2697675563, 179.203225105
37.2773367881, 179.510946614
37.284523347, 180.495497484
37.2848922163, 180.530502815
37.2923219395, 182.096026807
37.3001092672, 183.273958474
37.3078867291, 182.066132851
37.3156585698, 177.520703791
37.3234973996, 172.875654045
37.3313229147, 172.398745671
37.3391504371, 175.899293467
37.3469795769, 181.190248662
37.3548100469, 186.102044027
37.3626142577, 188.984052358
37.3703914559, 187.626049967
37.3781611221, 181.826804632
37.3859288017, 175.910270717
37.3936950689, 173.864272225
37.4014623407, 174.716197469
37.409232128, 176.957605213
37.4166461041, 179.759885207
37.4170066733, 180.040600586
37.4242723983, 182.87178977
37.4324885119, 185.832838732
37.4400791438, 188.052646401
37.4476954125, 188.915154355
37.4553104433, 188.078189754
37.4629113169, 185.889424277
37.4704900561, 183.734272985
37.4780466542, 182.241713825
37.4855916862, 181.283686529
37.4931389106, 180.971276477
37.5006944419, 180.966099269
37.5082605495, 181.51248481
37.5091871688, 181.753817285
37.5169269729, 183.185833269
37.5246747728, 184.497431451
37.5324300019, 185.573939894
37.5404646004, 186.321487294
37.5492413745, 186.70548313
37.5575145699, 186.47147157
37.5658160419, 185.470786356
37.5741420627, 183.974885869
37.5824808959, 182.438174701
37.5908164839, 181.547926131
37.5991229437, 181.547951174
37.6073848904, 182.519699417
37.6148030335, 184.453612249
37.6156108992, 184.359351456
37.6232072838, 186.361847135
37.6316081814, 187.596531965
37.6399210099, 187.466171565
37.6484490524, 185.940755473
37.6569769814, 183.708558667
37.6655052456, 182.171688673
37.6740320042, 181.973465649
37.6825572369, 182.793489979
37.6910800853, 184.309485451
37.6995986999, 186.065274118
37.7081130619, 187.592082116
37.708404889, 187.31810544
37.7171121279, 188.026596841
37.72492957, 187.72403886
37.7335786481, 186.694091682
37.7351714025, 187.000184085
37.743617712, 185.400427071
37.7520591767, 184.104150678
37.7605080775, 183.58173532
37.7689592947, 183.804015534
37.7774118946, 184.223273679
37.7858709396, 185.426841007
37.7943436959, 186.428305374
37.8028292888, 187.082598509
37.8113217094, 187.34733935
37.819809551, 187.771192839
37.8282808674, 188.85352285
37.8367291155, 190.002169657
37.8451594388, 189.615822356
37.8535759352, 185.720914159
37.8619693517, 180.166960316
37.8708032175, 179.299157706
37.8793046336, 180.255095487
37.8878064118, 183.374314659
37.896308007, 187.092250855
37.9048077591, 191.341362743
37.913304629, 194.610358611
37.9217988714, 195.335295557
37.9302907365, 191.016902805
37.9387821638, 183.445319757
37.9472780069, 179.997751601
37.9557804402, 181.051544238
37.9642857907, 183.375440992
37.9725801707, 187.087185082
37.9806547374, 190.802884392
37.988711558, 193.625122495
37.9967488939, 194.26727623
38.0047912903, 192.581488973
38.0128232511, 189.130577142
