Station, Elevation
33.977109628, 110.613266262
33.9852797742, 110.620409916
33.9856065056, nan
33.9938107301, 110.628874115
34.0022889755, 110.638377437
34.0107205114, 110.643813884
34.0191237015, 110.64514755
34.0191387816, 110.64520388
34.0275949882, 110.645924262
34.0360027947, 110.650981458
34.0443765956, 110.651175544
34.0446434234, 110.66053032
34.0530885838, 110.667047862
34.061547533, 110.673737732
34.0619676494, 110.677728789
34.0705224918, 110.690308675
34.0790959445, 110.710127484
34.0882216104, 110.719690217
34.0967350364, 110.740978281
34.0988891618, 110.747408547
34.1073337426, 110.772054693
34.1157812303, 110.823663984
34.12422553, 110.846092934
34.1260612757, 110.849718386
34.1344058204, 110.867251136
34.1427771604, 110.880455435
34.1511926809, 110.886446363
34.1600401616, 110.890497359
34.1686256324, 110.892268412
34.1772475271, 110.894918868
34.1858950113, 110.895920829
34.1945498466, 110.893640808
34.1949698646, 110.895156624
34.2035513094, 110.894588406
34.2121325889, 110.900119993
34.2197887189, 110.902191305
34.2292199138, 110.905404227
34.2378059589, 110.902836331
34.2464054795, 110.900735457
34.2550066939, 110.895802228
34.2634162598, 110.893760335
34.2716391202, 110.908432957
34.2798591116, 110.905865713
34.2873858173, 110.906799683
34.2963432724, 110.904264378
34.3045206608, 110.910990295
34.3126786911, 110.915189143
34.320827617, 110.920224438
34.3290575486, 110.91291744
34.3371365524, 110.915733543
34.3453010689, 110.911425659
34.3529769537, 110.88095243
34.354293201, 110.873300087
34.3623654082, 110.956619154
34.3707181811, 110.872915234
34.3788879542, 110.910679731
34.3810345352, 110.921049242
34.3892995223, 110.907842272
34.397495631, 110.876677065
34.4055897269, 110.946230518
34.4084454006, 110.921643595
34.4148141058, 110.747141603
34.4176713884, 110.736753068
34.4259368322, 110.543834182
34.4345811883, 110.606422731
34.4432730043, 110.94196502
34.4520761901, 110.507715252
34.460688727, 110.840000619
34.4692134214, 110.594600549
34.4774492051, 110.783951249
34.4852672099, 110.953120352
34.4933652811, 112.729132477
34.5014763185, 112.713434594
34.5042808663, 111.790404902
34.5123907322, 112.319964277
34.5205173194, 112.894967672
34.5286551371, 113.256280085
34.5368005394, 113.533724031
34.5449507204, 113.674831687
34.5531173845, 113.740084238
34.5615660819, 113.761697757
34.5688869151, 113.750162136
34.5734543715, 113.769530954
34.5814874002, 113.775920014
34.5895450559, 113.78004064
34.5976066827, 113.777569852
34.6056688462, 113.784439673
34.613729217, 113.799422483
34.6183123939, 113.801307951
34.6263703535, 113.811208567
34.6344058806, 113.815656949
34.6424017617, 113.820023739
34.6503468655, 113.821020956
34.6549461797, 113.833700502
34.6619515417, 113.801768734
34.6702182784, 113.8188729
34.6784827436, 113.826863391
34.6867444848, 113.805409979
34.6950039025, 113.832363301
34.7032621001, 113.83396976
34.7115188813, 113.858509414
34.7197758492, 113.878815146
34.7280323607, 113.879128577
34.7362447717, 113.889460865
34.7443897705, 113.881333748
34.752857529, 113.895376264
34.7588450806, 113.903154906
34.7608010777, 113.901060037
34.7681021189, 113.913774647
34.7757627091, 113.916952462
34.7835649434, 113.92107089
34.7913743484, 113.932659466
34.7991768157, 113.932299494
34.8069675705, 113.931860594
34.8147372133, 113.941027017
34.8224412551, 113.935285298
34.8298953863, 113.925213952
34.832707873, 113.935159399
34.8403261371, 113.919035504
34.8479302943, 113.922841692
34.8555036061, 113.923545967
34.8629878259, 113.921106432
34.8725612812, 113.923575351
34.878869624, 113.922469134
34.8852874731, 113.912540486
34.8917717089, 113.904934969
34.8982794553, 113.91000803
34.9047944825, 113.900552547
34.9113128154, 113.897691483
34.9178297162, 113.903096442
34.9243457565, 113.877601275
34.930860804, 113.873220001
34.9373743537, 113.928814096
34.9440738471, 113.971531325
34.9507463616, 113.980734203
34.9572752088, 114.008807668
34.9638065153, 114.033981616
34.9715375213, 114.092479348
34.9804455541, 114.12051551
34.9893570856, 114.145540582
34.998271886, 114.19624697
35.0071893556, 114.220552442
35.0161085248, 114.232633567
35.0250291826, 114.21536827
35.0339495629, 114.186822186
35.0426306015, 114.170092347
35.0514139528, 114.116026865
35.0601530868, 114.129448955
35.0640043589, 114.181153822
35.0728289329, 114.299333067
35.0815746495, 114.429260294
35.0909315395, 114.543193072
35.0994909388, 114.681052567
35.108158003, 114.761168128
35.1168527465, 114.794693213
35.1191298148, 114.975521521
35.1277584364, 115.069190957
35.1363802189, 115.185693315
35.1449907434, 115.258763616
35.1527427621, 115.296272255
35.1621680014, 115.334449088
35.1707504595, 115.331209392
35.1725619222, 115.367468141
35.1811191864, 115.375119339
35.1897627048, 115.380163456
35.1984328794, 115.388184892
35.2071006656, 115.394874498
35.2166751187, 115.400638943
35.224387985, 115.396617289
35.2326367801, 115.412121207
35.2406939443, 115.372896738
35.2414555331, 115.335085121
35.2494081921, 115.436322793
35.2573551725, 115.382337017
35.2653513934, 115.394489475
35.273685635, 115.398239399
35.2743085139, 115.364831353
35.2831790559, 115.414329546
35.2922169596, 115.400576953
35.3012372158, 115.417181782
35.3091946445, 115.37247753
35.3102524116, 115.41844411
35.3180943416, 115.389755356
35.3269942754, 115.268799098
35.3358944666, 115.455690021
35.3446060763, 115.467503259
35.3535092037, 115.531672876
35.3624174062, 115.545700152
35.3706685844, 115.558314198
35.3782804589, 115.584420016
35.3858881253, 115.602414843
35.3934823595, 115.623681126
35.401056907, 115.595578816
35.4086098133, 115.61569204
35.416146543, 115.611488462
35.4236772112, 115.621109635
35.4312061455, 115.606413091
35.4387357212, 115.631528507
35.4462658567, 115.628793519
35.4537899691, 115.644723994
35.4612916712, 115.657656792
35.4618864082, 115.659740918
35.4684993692, 115.663615723
35.4762950723, 115.6406624
35.4780872177, 115.641071477
35.4856476646, 115.625056422
35.493925537, 115.648130709
35.5029086784, 115.553356364
35.5119024847, 115.876366721
35.5197084979, 115.67714928
35.5209021067, 115.723840831
35.5287800924, 115.696499522
35.5378538539, 115.68898561
35.5469274185, 115.680605723
35.555997398, 115.659679721
35.5649867037, 115.604641235
35.5740533152, nan
35.5831148086, nan
35.5921735271, nan
35.6012311193, nan
35.6102892379, 117.244002248
35.6193458729, 117.25245698
35.6284021582, 117.120661495
35.6374583766, 117.141930928
35.6465180887, 117.165733255
35.6556611317, 117.178079089
35.6647165749, 117.163711731
35.6737658581, 117.183470882
35.6828154707, 117.238769104
35.6918728648, 117.258152343
35.7009372081, 117.268634521
35.7099935071, 117.276261681
35.7190246728, 117.284655907
35.7280232238, 117.283562008
35.7369919918, 117.28627457
35.7459427116, 117.287205464
35.7548840013, 117.283057046
35.7553249708, 117.28710451
35.7644899683, 117.283573428
35.7733170656, 117.282008348
35.782151766, 117.285306603
35.7910352466, 117.275794015
35.8000012033, 117.261630949
35.8090186035, 117.269134437
35.8180418743, 117.252013148
35.8270623991, 117.234537788
35.8360866957, 117.193467251
35.8447690174, 117.183001336
35.8451149689, 117.165405118
35.8538648408, 117.150329765
35.8629606502, 117.176422733
35.8710540661, 117.094377157
35.8733795919, 116.80243421
35.8821158723, 116.806162764
35.8909238263, 117.830594757
35.8998102059, 119.45194828
35.9087422205, 121.001619109
35.9177084526, 121.735958546
35.9267056631, 121.830869562
35.9357197456, 121.867994283
35.9447393775, 121.870994708
35.9537629269, 121.888042327
35.9627888464, 121.899205156
35.9724854954, 121.901128165
35.9810031722, 121.907938496
35.9899190387, 121.914469599
35.9922895908, 121.90573293
36.0014089494, 121.918088235
36.0079830279, 121.938839251
36.0104760566, 121.920193267
36.0169101921, 121.947258041
36.0257820721, 121.949215503
36.0346826874, 121.942731674
