Station, Elevation
33.977109628, 155.876876487
33.9852797742, 156.028883346
33.9856065056, 155.917199895
33.9938107301, 156.061304895
34.0022889755, 156.116512434
34.0107205114, 156.189352756
34.0191237015, 156.24001569
34.0191387816, 156.349808959
34.0275949882, 156.361049344
34.0360027947, 156.400781609
34.0443765956, 156.423965396
34.0446434234, 156.516201881
34.0530885838, 156.514712509
34.061547533, 156.497943224
34.0619676494, 156.56190855
34.0705224918, 156.516459245
34.0790959445, 156.451297195
34.0882216104, 156.303068112
34.0967350364, 156.121165494
34.0988891618, 156.063058242
34.1073337426, 155.893023052
34.1157812303, 155.905260644
34.12422553, 155.789627913
34.1260612757, 155.703362547
34.1344058204, 155.683580929
34.1427771604, 155.668998682
34.1511926809, 155.606831306
34.1600401616, 155.493851002
34.1686256324, 155.359590884
34.1772475271, 155.207408035
34.1858950113, 155.019292342
34.1945498466, 154.969358879
34.1949698646, 154.96859756
34.2035513094, 155.316478376
34.2121325889, 155.665646326
34.2197887189, 155.954880417
34.2292199138, 156.265858777
34.2378059589, 156.389265569
34.2464054795, 156.252556739
34.2550066939, 156.167980749
34.2634162598, 156.481923241
34.2716391202, 156.900458139
34.2798591116, 157.048158247
34.2873858173, 157.112282993
34.2963432724, 157.222094643
34.3045206608, 157.457329569
34.3126786911, 157.658784751
34.320827617, 157.84509584
34.3290575486, 157.844235687
34.3371365524, 158.012187807
34.3453010689, 158.032646061
34.3529769537, 158.107788814
34.354293201, 158.353878674
34.3623654082, 158.776128006
34.3707181811, 158.923471174
34.3788879542, 158.946861698
34.3810345352, 159.386411828
34.3892995223, 159.474588494
34.397495631, 159.574933181
34.4055897269, 159.807657459
34.4084454006, 159.994108977
34.4148141058, 159.556328234
34.4176713884, 159.654257933
34.4259368322, 159.554234055
34.4345811883, 159.549411263
34.4432730043, 159.773095037
34.4520761901, 159.615235433
34.460688727, 159.605169335
34.4692134214, 159.48874427
34.4774492051, 159.673164026
34.4852672099, 159.407212032
34.4933652811, 159.755506508
34.5014763185, 159.599061995
34.5042808663, 159.419902841
34.5123907322, 159.36404129
34.5205173194, 159.346594241
34.5286551371, 159.252984841
34.5368005394, 159.239025127
34.5449507204, 159.19531144
34.5531173845, 159.142376058
34.5615660819, 158.972997211
34.5688869151, 158.577322598
34.5734543715, 158.445692944
34.5814874002, 158.250740354
34.5895450559, 158.703737628
34.5976066827, 158.852594306
34.6056688462, 159.130593687
34.613729217, 159.348301743
34.6183123939, 159.486714619
34.6263703535, 159.740904593
34.6344058806, 159.733783554
34.6424017617, 159.693847403
34.6503468655, 159.724020195
34.6549461797, 159.751968848
34.6619515417, 159.277029232
34.6702182784, 159.148520834
34.6784827436, 159.176603794
34.6867444848, 158.906901656
34.6950039025, 159.289484604
34.7032621001, 159.662751862
34.7115188813, 160.011928185
34.7197758492, 160.50372199
34.7280323607, 160.752202735
34.7362447717, 161.172211752
34.7443897705, 161.294669932
34.752857529, 161.63707352
34.7588450806, 161.870076092
34.7608010777, 161.433450262
34.7681021189, 161.633543419
34.7757627091, 161.573130565
34.7835649434, 161.662209397
34.7913743484, 161.969156317
34.7991768157, 162.045573763
34.8069675705, 162.196869689
34.8147372133, 162.713473905
34.8224412551, 162.788319737
34.8298953863, 162.134439944
34.832707873, 162.9360668
34.8403261371, 162.568149254
34.8479302943, 162.837834036
34.8555036061, 163.03684057
34.8629878259, 163.095912199
34.8725612812, 163.14465466
34.878869624, 163.056083689
34.8852874731, 162.819823894
34.8917717089, 162.68613111
34.8982794553, 162.697800106
34.9047944825, 162.616530783
34.9113128154, 162.68197118
34.9178297162, 162.678653275
34.9243457565, 162.65021658
34.930860804, 162.732597873
34.9373743537, 162.894838893
34.9440738471, 163.032200611
34.9507463616, 163.084886515
34.9572752088, 163.168163288
34.9638065153, 163.243029283
34.9715375213, 163.3859157
34.9804455541, 163.404391449
34.9893570856, 163.511495725
34.998271886, 163.61162994
35.0071893556, 163.6826422
35.0161085248, 163.75732402
35.0250291826, 163.829516041
35.0339495629, 163.840831048
35.0426306015, 163.978170333
35.0514139528, 163.953444438
35.0601530868, 164.069776432
35.0640043589, 164.224833125
35.0728289329, 164.293936262
35.0815746495, 164.42314644
35.0909315395, 164.499365278
35.0994909388, 164.542299518
35.108158003, 164.619955158
35.1168527465, 164.634188115
35.1191298148, 164.490771304
35.1277584364, 164.473765884
35.1363802189, 164.468527243
35.1449907434, 164.547724308
35.1527427621, 164.608622955
35.1621680014, 164.547355409
35.1707504595, 164.211025674
35.1725619222, 164.389668846
35.1811191864, 164.285691728
35.1897627048, 164.191094246
35.1984328794, 164.237207755
35.2071006656, 164.329425986
35.2166751187, 164.286074992
35.224387985, 163.977276913
35.2326367801, 164.685656887
35.2406939443, 162.527325515
35.2414555331, 162.480688541
35.2494081921, 164.687332471
35.2573551725, 162.708227872
35.2653513934, 162.719275524
35.273685635, 162.653025033
35.2743085139, 161.934623712
35.2831790559, 162.950008101
35.2922169596, 162.764910045
35.3012372158, 163.018743786
35.3091946445, 161.805878098
35.3102524116, 162.437301679
35.3180943416, 162.161011206
35.3269942754, 160.884222029
35.3358944666, 161.970922419
35.3446060763, 162.108320479
35.3535092037, 162.311138224
35.3624174062, 161.773967737
35.3706685844, 161.912849262
35.3782804589, 162.05286579
35.3858881253, 162.070464701
35.3934823595, 162.149503185
35.401056907, 160.851038076
35.4086098133, 161.257952708
35.416146543, 161.03428995
35.4236772112, 161.475915481
