Station,ex.prob,site.no,z,site,flow,logZ,logQ
6.0188802709499996,10,11,12.487135134999999,KAT,36600,2.524698925129387,10.507803519389457
6.05525438392,10,11,12.010498853999998,KAT,36600,2.485781171782146,10.507803519389457
6.09501615235,10,11,13.369281560000001,KAT,36600,2.59295965444194,10.507803519389457
6.12913616342,10,11,15.987982317,KAT,36600,2.771837334831453,10.507803519389457
6.1591801771,10,11,17.57942751,KAT,36600,2.8667293268803684,10.507803519389457
6.18537788937,10,11,17.487461894000003,KAT,36600,2.8614841609470525,10.507803519389457
6.21115442184,10,11,17.966301246,KAT,36600,2.8884978502273895,10.507803519389457
6.24158338848,10,11,18.612224857999998,KAT,36600,2.923818615254792,10.507803519389457
6.27183102527,10,11,18.845770871,KAT,36600,2.936288531746101,10.507803519389457
6.30164021163,10,11,18.627062763,KAT,36600,2.9246155105088705,10.507803519389457
6.33151265219,10,11,16.476756509999998,KAT,36600,2.801950691397373,10.507803519389457
6.36477625741,10,11,14.041657751,KAT,36600,2.6420284650605943,10.507803519389457
6.39780512208,10,11,13.522643655,KAT,36600,2.6043655881124526,10.507803519389457
6.43028687962,10,11,13.208157071,KAT,36600,2.580834598657958,10.507803519389457
6.46347665848,10,11,11.859703652,KAT,36600,2.4731464060735835,10.507803519389457
6.49675332182,10,11,12.360776677,KAT,36600,2.5145282880003075,10.507803519389457
6.52716686393,10,11,12.725671337,KAT,36600,2.543621318373062,10.507803519389457
6.55452078758,10,11,11.631340222999999,KAT,36600,2.4537031983262163,10.507803519389457
6.5879998223,10,11,11.066167939000001,KAT,36600,2.40389252048583,10.507803519389457
6.62230650009,10,11,10.47250042,KAT,36600,2.348752813944089,10.507803519389457
6.66051419847,10,11,12.422368772999999,KAT,36600,2.519498780783884,10.507803519389457
6.6853927672,10,11,13.056068351,KAT,36600,2.569253033425572,10.507803519389457
6.70903550575,10,11,13.325939909999999,KAT,36600,2.589712504900102,10.507803519389457
6.74204032043,10,11,12.324868057999998,KAT,36600,2.5116190146381867,10.507803519389457
6.77927760817,10,11,11.293475979,KAT,36600,2.4242252119981935,10.507803519389457
6.80782714607,10,11,12.179761404,KAT,36600,2.4997756729273193,10.507803519389457
6.8393444887,10,11,14.395053560000001,KAT,36600,2.6668846447935843,10.507803519389457
6.87274556666,10,11,13.482591956999999,KAT,36600,2.6013993686769665,10.507803519389457
6.90303961111,10,11,12.532533938999999,KAT,36600,2.528327978230849,10.507803519389457
6.93750663354,10,11,13.664400106,KAT,36600,2.6147939183798066,10.507803519389457
6.96801622482,10,11,14.331149331999999,KAT,36600,2.6624354432295854,10.507803519389457
7.01012012342,10,11,16.134357003999998,KAT,36600,2.7809509737027254,10.507803519389457
7.04156880807,10,11,18.424822221,KAT,36600,2.9136987892364488,10.507803519389457
7.06509945459,10,11,19.204246398,KAT,36600,2.955131421142517,10.507803519389457
7.10168020275,10,11,13.625255752000001,KAT,36600,2.6119251111621296,10.507803519389457
7.12888573038,10,11,13.942768674,KAT,36600,2.634960999241144,10.507803519389457
7.16542489057,10,11,16.373742011,KAT,36600,2.7956789548144947,10.507803519389457
7.19235737135,10,11,18.015209753,KAT,36600,2.8912163873740178,10.507803519389457
7.21361728727,10,11,21.026795904,KAT,36600,3.0457976197616756,10.507803519389457
7.23818788836,10,11,21.426272924,KAT,36600,3.06461787574113,10.507803519389457
7.2709312568,10,11,12.599985796999999,KAT,36600,2.533695686734575,10.507803519389457
7.29276453122,10,11,12.011492072000001,KAT,36600,2.485863864178761,10.507803519389457
7.32428276481,10,11,11.655805446999999,KAT,36600,2.45580437752162,10.507803519389457
7.34882929791,10,11,11.464809547000002,KAT,36600,2.439282304484147,10.507803519389457
7.37112669681,10,11,11.401337667000002,KAT,36600,2.4337306877272695,10.507803519389457
7.40227354865,10,11,11.405352715,KAT,36600,2.4340827816062345,10.507803519389457
7.43898420772,10,11,11.346328117999999,KAT,36600,2.428894177752923,10.507803519389457
7.47553611873,10,11,11.196046199000001,KAT,36600,2.415560698029117,10.507803519389457
7.50833919271,10,11,10.770994687000002,KAT,36600,2.3768568440995486,10.507803519389457
7.54113616869,10,11,10.797298929999998,KAT,36600,2.379296003776111,10.507803519389457
7.57450892588,10,11,11.02638039,KAT,36600,2.4002906189375395,10.507803519389457
7.6151272137,10,11,10.906991011999999,KAT,36600,2.389403960888322,10.507803519389457
7.65568887551,10,11,10.533784032,KAT,36600,2.354587618857484,10.507803519389457
7.6901679281,10,11,10.612019647000002,KAT,36600,2.3619872876684274,10.507803519389457
7.72461643182,10,11,12.721241702999999,KAT,36600,2.5432731713080106,10.507803519389457
7.75912867638,10,11,12.356785786,KAT,36600,2.514205368534389,10.507803519389457
7.79401102406,10,11,11.389052220999998,KAT,36600,2.4326525624955044,10.507803519389457
7.82492395153,10,11,11.419295661,KAT,36600,2.435304526406387,10.507803519389457
7.86296506225,10,11,11.68135986,KAT,36600,2.45799439699292,10.507803519389457
7.89853914751,10,11,11.330423332999999,KAT,36600,2.4274914382430492,10.507803519389457
7.9272121066,10,11,11.577290641000001,KAT,36600,2.4490454759443123,10.507803519389457
7.95242497403,10,11,11.953303007,KAT,36600,2.481007642444867,10.507803519389457
7.98509727142,10,11,10.475726728,KAT,36600,2.349060840776404,10.507803519389457
8.01759807343,10,11,10.212509962,KAT,36600,2.3236134356568816,10.507803519389457
8.04923937111,10,11,11.509653725,KAT,36600,2.4431861375722885,10.507803519389457
8.07260068245,10,11,12.289356932000002,KAT,36600,2.508733597717513,10.507803519389457
