site,site.Estimate.Intercept
BB,0.0709508354019089
HC,-0.11651133927961642
I5,-0.05318789611897001
KAT,-0.09840816898988537
OMR,0.018157278498098648
OR,0.2055358844038533
RP,-0.03765101289098032
SV,-0.15453857198136328
TH,0.056472327687853575
WB,-0.01245762512143218
WE,0.10966685138317735
